Stock Index,Predicted Values
AC3235,803.1656699779998
AC3236,256.040504783
AC3237,1570.0874133800007
AC3238,738.8132899249997
AC3239,271.9918192180001
AC3240,357.51042891400016
AC3241,715.9821277130005
AC3242,883.560718036001
AC3243,908.8375342159999
AC3244,1345.2296036
AC3245,305.94069181200007
AC3246,416.45218534219975
AC3247,808.3692508550002
AC3248,109.55877179339997
AC3249,127.62289341000005
AC3250,234.03864954660003
AC3251,1809.4079435700007
AC3252,134.7767014626
AC3253,291.50205762500013
AC3254,206.28117116799993
AC3255,997.0458654779998
AC3256,869.8808390719998
AC3257,1495.2679903900003
AC3258,508.64193511100035
AC3259,251.95634547080007
AC3260,300.5016612938001
AC3261,118.92543560790006
AC3262,244.6576071700001
AC3263,383.86250068599975
AC3264,115.35840688699994
AC3265,1066.9240488900004
AC3266,876.7385855029997
AC3267,514.6819913175998
AC3268,761.9053184670001
AC3269,400.7888515899997
AC3270,832.7598472390001
AC3271,79.85594407869993
AC3272,399.7650625268001
AC3273,910.8645330970003
AC3274,584.0020625320003
AC3275,510.77632966199985
AC3276,641.7633676759998
AC3277,958.3323940680001
AC3278,975.0371029109994
AC3279,182.51506406999994
AC3280,410.744321864
AC3281,911.3317052109993
AC3282,124.8262919018001
AC3283,805.7429599530002
AC3284,547.8723832000001
AC3285,100.39043075480002
AC3286,863.3871021999996
AC3287,197.00829533299995
AC3288,184.14556988000007
AC3289,154.27924924999996
AC3290,185.68164796300005
AC3291,188.91329353199998
AC3292,87.06384423809999
AC3293,506.6602436179994
AC3294,187.09353228800003
AC3295,557.1466392890005
AC3296,98.11480229849997
AC3297,604.7733339019998
AC3298,792.9638449640003
AC3299,100.92313289780007
AC3300,85.1789069706
AC3301,804.0247168820002
AC3302,128.5841130689001
AC3303,1254.9466894499992
AC3304,36.56227612570001
AC3305,272.706514669
AC3306,162.148998861
AC3307,31.575200832999993
AC3308,126.871933291
AC3309,261.02451787700005
AC3310,804.1619945049996
AC3311,1087.9490593229993
AC3312,877.767541622
AC3313,32.91684439869999
AC3314,76.26186723749994
AC3315,120.60965627639999
AC3316,412.81294044559974
AC3317,981.6115083219997
AC3318,545.9918617580005
AC3319,1200.8007378600003
AC3320,24.249227179599988
AC3321,101.86543972219994
AC3322,90.4611301163
AC3323,874.7750508590001
AC3324,80.88266824459998
AC3325,251.687585331
AC3326,415.40179019799984
AC3327,83.24956975460005
AC3328,71.82434160060001
AC3329,710.0318032989999
AC3330,896.2591046970006
AC3331,238.57338889799996
AC3332,774.489950851
AC3333,1442.2668577900001
AC3334,308.50204599500006
AC3335,631.2540566900004
AC3336,133.82522857080008
AC3337,618.1887748260003
AC3338,1744.4085588599994
AC3339,849.8104635770003
AC3340,77.58018583809996
AC3341,1227.9368904699993
AC3342,1212.09357922
AC3343,281.2349224389998
AC3344,97.14352313809995
AC3345,216.12673197799998
AC3346,83.3937028772
AC3347,274.905269817
AC3348,660.0242561769992
AC3349,508.8627558159996
AC3350,118.29194224100002
AC3351,778.4703931789995
AC3352,53.2212357428
AC3353,389.79605699500013
AC3354,259.9546697209998
AC3355,610.7357067096001
AC3356,234.86096151
AC3357,614.6548822510002
AC3358,1598.6676052800008
AC3359,1317.2673892
AC3360,1178.5343828999992
AC3361,233.211716537
AC3362,376.3984019910001
AC3363,477.70900094999973
AC3364,382.9597870147999
AC3365,102.70792818870001
AC3366,346.59581029700007
AC3367,251.5916592809998
AC3368,812.741013717
AC3369,304.3055631980002
AC3370,573.9455507330001
AC3371,387.33086667199973
AC3372,475.28002323799984
AC3373,216.19395988439993
AC3374,340.17887165900015
AC3375,1083.8140827790003
AC3376,444.70534855599965
AC3377,196.70154197900004
AC3378,377.72234427099994
AC3379,625.2705634200005
AC3380,149.1646170919999
AC3381,408.4323393399998
AC3382,587.2850120709998
AC3383,144.731847357
AC3384,234.50085809800012
AC3385,245.6144191120001
AC3386,116.72610072920001
AC3387,283.51736718599994
AC3388,1644.237669800001
AC3389,256.8739561890002
AC3390,247.9660228720001
AC3391,831.8223559549998
AC3392,632.750586871
AC3393,446.39490354500003
AC3394,516.9230922460002
AC3395,1451.3592000000003
AC3396,52.2258277804
AC3397,671.9886759579999
AC3398,427.49398144500014
AC3399,68.0390686774
AC3400,181.12225395700005
AC3401,132.0885302814
AC3402,486.29766345599995
AC3403,284.9044419050001
AC3404,84.31411164740001
AC3405,112.85091539139995
AC3406,291.81843719000005
AC3407,171.20851120900002
AC3408,698.3399399910003
AC3409,1231.8812536800003
AC3410,942.7251503450002
AC3411,1003.899379187
AC3412,1513.5256396500006
AC3413,177.581820673
AC3414,314.91840688000025
AC3415,212.2208775760001
AC3416,551.3118148689998
AC3417,877.7010746009994
AC3418,155.6496337439999
AC3419,1343.7175239299995
AC3420,198.477464342
AC3421,217.6751043690001
AC3422,859.3044406099999
AC3423,100.65147165029995
AC3424,1161.31271388
AC3425,225.2491089069999
AC3426,78.04777660549996
AC3427,361.43530971
AC3428,761.8686188010001
AC3429,753.3461803309997
AC3430,336.07977126799994
AC3431,483.72981193099986
AC3432,502.5425567830004
AC3433,197.6287181100001
AC3434,855.8305959610005
AC3435,1110.5124734000005
AC3436,447.78431223599983
AC3437,124.12632218640002
AC3438,1512.5013828699991
AC3439,170.30682610100004
AC3440,1260.4134507600002
AC3441,425.00047812699967
AC3442,40.96817662969999
AC3443,624.2604020590003
AC3444,160.50950807
AC3445,123.19432177710001
AC3446,758.1408628370008
AC3447,904.5011608030009
AC3448,148.21511055990007
AC3449,1118.8499920610004
AC3450,210.8091116399998
AC3451,1057.176262721
AC3452,723.5276970430003
AC3453,648.7997011900001
AC3454,72.13514453349995
AC3455,759.0906533880001
AC3456,164.52981220599992
AC3457,617.125739308
AC3458,714.5143284870001
AC3459,1786.159283170001
AC3460,515.5535645479997
AC3461,582.3270171199999
AC3462,477.31398318199984
AC3463,1263.1485378999996
AC3464,271.10430391399996
AC3465,613.7660912629997
AC3466,143.9501142188
AC3467,155.518652968
AC3468,1403.0515702799999
AC3469,286.04875806800027
AC3470,353.6463712289999
AC3471,684.7454464269999
AC3472,231.7785489230001
AC3473,413.4523478319999
AC3474,436.00734672599987
AC3475,89.60930905499995
AC3476,557.8566641980003
AC3477,819.0382729920001
AC3478,126.18093514910002
AC3479,211.03980689499988
AC3480,142.89533830000016
AC3481,1117.1528473600006
AC3482,394.6322932000002
AC3483,1014.5245211549991
AC3484,944.3983598089997
AC3485,794.3650301010001
AC3486,103.48101211680002
AC3487,232.31117405199998
AC3488,1739.8403409100006
AC3489,810.3877616020003
AC3490,1568.9051833799997
AC3491,249.33585190999992
AC3492,969.0953505909998
AC3493,69.78722263399999
AC3494,1030.950938166001
AC3495,131.50014727690007
AC3496,1298.0030174199997
AC3497,428.65613190799996
AC3498,55.85548703940004
AC3499,377.80779983100024
AC3500,104.84391054849995
AC3501,267.4748272631999
AC3502,253.32354810299984
AC3503,301.36488203899995
AC3504,1124.7601840200002
AC3505,1127.87914337
AC3506,454.93155385299985
AC3507,849.7423764729995
AC3508,934.1745794680003
AC3509,380.23593616
AC3510,1239.0257369500002
AC3511,1006.5740719050002
AC3512,1001.7760334080003
AC3513,542.9420330500002
AC3514,174.88609437799994
AC3515,912.1114419780002
AC3516,550.8680959980003
AC3517,498.53470270100007
AC3518,569.127537096
AC3519,976.7615032010002
AC3520,1765.309612080001
AC3521,738.1246509910001
AC3522,1215.5530673500007
AC3523,1008.0774071289997
AC3524,1165.2938305000002
AC3525,794.7522592199999
AC3526,449.27604852700017
AC3527,81.83549643720005
AC3528,82.65755746669998
AC3529,993.9034568949996
AC3530,521.0271868780003
AC3531,596.6211825199998
AC3532,794.0897526819998
AC3533,533.0527058280001
AC3534,797.7267378610007
AC3535,912.618364782
AC3536,242.88943877200015
AC3537,123.7075273574
AC3538,845.672477722
AC3539,1250.4693026599994
AC3540,359.92383519000015
AC3541,525.353358881
AC3542,310.5589790140001
AC3543,1050.6237265000009
AC3544,422.2741985050002
AC3545,565.0136518980001
AC3546,512.6695628459998
AC3547,607.5236005559998
AC3548,87.81371473250002
AC3549,1627.26231265
AC3550,823.1124241549998
AC3551,646.4698118539999
AC3552,335.6375105050002
AC3553,908.7501394929999
AC3554,289.446870149
AC3555,219.60981277300016
AC3556,1033.2773074140002
AC3557,625.0507958476005
AC3558,1280.3166968300002
AC3559,537.7668992820004
AC3560,166.072490522
AC3561,188.3551672560001
AC3562,784.6822840339997
AC3563,1085.6181203409994
AC3564,1484.33193325
AC3565,705.7945733990003
AC3566,296.4606514639999
AC3567,212.54611384299997
AC3568,145.99776005400003
AC3569,334.56887661200017
AC3570,771.9381152380004
AC3571,612.0444900870001
AC3572,476.54465040899976
AC3573,1284.8484498000003
AC3574,667.8688726179998
AC3575,169.63066874809996
AC3576,565.8654794220001
AC3577,1698.3374478700002
AC3578,89.3414048529
AC3579,1490.9727390199998
AC3580,123.59651068860006
AC3581,94.07349178219992
AC3582,244.201192319
AC3583,703.9668029699994
AC3584,187.2299033360001
AC3585,108.86785153860002
AC3586,411.6966158859999
AC3587,25.420029068399995
AC3588,214.88582572799984
AC3589,160.635956582
AC3590,284.83779822800005
AC3591,348.10600024500025
AC3592,287.97090105000024
AC3593,64.99521166889997
AC3594,133.91483529899998
AC3595,385.85895143899984
AC3596,820.5415576729999
AC3597,85.88127314669997
AC3598,210.711717135
AC3599,1196.8468125999993
AC3600,1271.2946742899992
AC3601,971.2466504169993
AC3602,789.8671419889988
AC3603,1675.51076039
AC3604,294.5309558939999
AC3605,782.6532452109998
AC3606,1205.3301615899998
AC3607,38.941902535000004
AC3608,1048.9782717120004
AC3609,501.5581246839998
AC3610,201.10738266700002
AC3611,769.0755621310003
AC3612,93.91523924760003
AC3613,1233.1332383000001
AC3614,455.669615346
AC3615,463.49563886499976
AC3616,290.03491438200007
AC3617,1278.318076460001
AC3618,117.17648134870007
AC3619,250.77321696600004
AC3620,240.69745747400015
AC3621,820.460930592
AC3622,285.581609554
AC3623,322.78332062400017
AC3624,706.74726468
AC3625,251.0818899400001
AC3626,94.2017518019
AC3627,661.1433982549996
AC3628,61.080274016200036
AC3629,64.06827406890001
AC3630,597.953674454
AC3631,52.4212422091
AC3632,169.42981160599996
AC3633,284.36127998500007
AC3634,1433.3385097500009
AC3635,285.52426818499976
AC3636,1201.8044162999997
AC3637,355.61722324800024
AC3638,1000.165576054
AC3639,206.10692013900004
AC3640,914.2812825479999
AC3641,544.2795318220001
AC3642,116.37780025070009
AC3643,608.0394629880002
AC3644,738.805800718
AC3645,1141.2619219599999
AC3646,684.4195422179997
AC3647,372.83607678699985
AC3648,227.7141028260001
AC3649,398.6852583209999
AC3650,684.6707775220004
AC3651,1324.8568728800005
AC3652,358.67819298599983
AC3653,584.5736743220004
AC3654,1226.0640466400005
AC3655,381.3604651309999
AC3656,359.4598874259999
AC3657,915.2573671979995
AC3658,879.2383161570002
AC3659,540.9233862669997
AC3660,135.25285657500004
AC3661,138.49730753000006
AC3662,303.05597658100027
AC3663,752.6203697619994
AC3664,414.08712041300004
AC3665,865.2583244410001
AC3666,435.4551331049998
AC3667,625.4012873530008
AC3668,1283.76888824
AC3669,1180.5005890200002
AC3670,420.22814825700027
AC3671,94.31847020279999
AC3672,354.78807067
AC3673,877.2112472690002
AC3674,901.373819859
AC3675,599.40808551
AC3676,1371.8061791600003
AC3677,1067.873382621
AC3678,1234.0764703099996
AC3679,421.61195420599955
AC3680,654.5499907699999
AC3681,577.7890900510005
AC3682,243.22761265380004
AC3683,547.5093724159999
AC3684,492.274049851
AC3685,148.119917891
AC3686,271.7636332010003
AC3687,848.4154611990004
AC3688,224.36893722600013
AC3689,791.2573159800007
AC3690,657.7495515969999
AC3691,490.31017402800006
AC3692,188.5006055480001
AC3693,153.19567112099995
AC3694,238.46431405599992
AC3695,221.7359467610001
AC3696,106.06068925349997
AC3697,335.0594911740002
AC3698,149.88346054199997
AC3699,117.67594830750001
AC3700,1157.7893319000004
AC3701,249.95848905099982
AC3702,453.97401221999974
AC3703,188.69467414300001
AC3704,267.76694203599993
AC3705,684.3209707469997
AC3706,648.8052864169997
AC3707,1528.0974211399998
AC3708,1223.4135278299996
AC3709,508.0571225940006
AC3710,121.88882936300003
AC3711,1061.2818728109996
AC3712,320.285660229
AC3713,955.2278479170003
AC3714,1488.9032190900004
AC3715,1347.21960433
AC3716,154.75418684089993
AC3717,836.3162396359996
AC3718,1378.9782390599994
AC3719,1061.9815193969991
AC3720,103.19212049719998
AC3721,314.96838019500024
AC3722,1554.8950743900004
AC3723,552.9597237800001
AC3724,82.46619565829998
AC3725,871.5124796499997
AC3726,103.62781855799996
AC3727,589.5476130590004
AC3728,281.7893334118
AC3729,358.87888955600005
AC3730,585.5440677590007
AC3731,996.4273282329997
AC3732,546.335674517
AC3733,164.37166129200003
AC3734,474.09071971699996
AC3735,351.28078285400005
AC3736,721.2628345480001
AC3737,510.12713509299994
AC3738,355.35178849999977
AC3739,70.94662896729996
AC3740,366.1680513549997
AC3741,763.2689933810007
AC3742,713.1390458929997
AC3743,832.3502509499995
AC3744,70.1487260498
AC3745,101.64384090320006
AC3746,337.0598052739998
AC3747,498.51418746799965
AC3748,105.01430314059999
AC3749,528.4102649570002
AC3750,1449.0933620500007
AC3751,56.92398554690001
AC3752,85.89843775509993
AC3753,360.7632285580002
AC3754,623.659535796
AC3755,66.7554041607
AC3756,346.3279830010002
AC3757,525.963557925
AC3758,555.7593810980003
AC3759,544.3206405080001
AC3760,219.36754663999992
AC3761,456.99831257000005
AC3762,507.3572708019999
AC3763,911.2623513389996
AC3764,456.8126646899995
AC3765,299.199623361
AC3766,465.0014328109999
AC3767,82.10964299729994
AC3768,1063.9809971780005
AC3769,1113.514133906
AC3770,135.38652720999997
AC3771,692.566495905
AC3772,456.38273758999946
AC3773,77.54729548290001
AC3774,255.45737493300007
AC3775,37.81146187879996
AC3776,300.18310945400003
AC3777,99.13364044550002
AC3778,890.053285872
AC3779,1753.9409142000006
AC3780,109.76979660970002
AC3781,650.1614922349999
AC3782,106.85471088130002
AC3783,611.7099552930002
AC3784,286.43500386799974
AC3785,369.6332783329999
AC3786,414.15700009700015
AC3787,232.02039601399986
AC3788,734.1314575319999
AC3789,1442.8897734499997
AC3790,896.3731755080004
AC3791,180.66524876660003
AC3792,876.374687326
AC3793,292.861591382
AC3794,847.8450666990007
AC3795,496.30599936199974
AC3796,310.6061487060002
AC3797,107.0790009083
AC3798,617.12616622
AC3799,1036.2414620660008
AC3800,83.06354687179999
AC3801,96.24052852320001
AC3802,216.2192005076999
AC3803,73.71647760209997
AC3804,23.855887169299994
AC3805,30.32993692369999
AC3806,768.5528515120001
AC3807,167.2447528989999
AC3808,1431.6593985199995
AC3809,192.23309283600017
AC3810,600.3017275796002
AC3811,312.5395759700002
AC3812,569.9664394789997
AC3813,976.6489487619995
AC3814,784.1400192090003
AC3815,182.85185711099993
AC3816,811.561656458
AC3817,320.70382584299995
AC3818,1651.1186547400007
AC3819,93.48121713340007
AC3820,149.13117735100005
AC3821,258.2793358647998
AC3822,213.97213892599981
AC3823,430.9869080319999
AC3824,424.7434666450001
AC3825,371.53186050299996
AC3826,365.3078895259998
AC3827,578.4940316919998
AD1,145.906409043
AD2,387.69913678500006
AD3,73.24492135789998
AD4,633.9348447780001
AD5,113.35112363830007
AD6,165.18538130069985
AD7,356.73023294900014
AD8,708.0732165420003
AD9,644.9036299660003
AD10,348.06935856600006
AD11,138.5193811966001
AD12,150.89090079299984
AD13,821.0512007380004
AD14,700.1233042590003
AD15,1015.1402501319993
AD16,626.1710897509996
AD17,765.3442300280008
AD18,572.762017036
AD19,1547.0014148399994
AD20,200.428719563
AD21,819.127404274
AD22,1335.3528170100005
AD23,1641.916047510001
AD24,314.4485277859999
AD25,751.8947636089998
AD26,546.9757248710001
AD27,348.5924957680001
AD28,265.31391302400016
AD29,744.8273762509998
AD30,1137.1393610400003
AD31,268.5196432609999
AD32,395.55317231399977
AD33,534.3396996816
AD34,230.17008101399992
AD35,698.1456279070002
AD36,195.2523259989999
AD37,39.26807045409998
AD38,1574.0315775199995
AD39,795.6662476260001
AD40,477.962311372
AD41,50.52245257640002
AD42,178.55396662700002
AD43,134.44278609820014
AD44,819.6774798479997
AD45,1728.41618809
AD46,518.963980599
AD47,210.77886938799998
AD48,168.67237863000003
AD49,258.51413844099994
AD50,574.5180295420005
AD51,52.84243270279999
AD52,80.33466228200005
AD53,487.9521433710002
AD54,133.09030558200004
AD55,595.277985981
AD56,1139.6667055799992
AD57,846.0977306099995
AD58,1188.3159219299996
AD59,631.3611970289998
AD60,616.3129116289998
AD61,853.7533233359999
AD62,1641.4525343599996
AD63,728.22555332
AD64,984.9566715089994
AD65,184.44651092300003
AD66,397.7411747160001
AD67,127.17395372300001
AD68,1108.9862226600003
AD69,200.37447105900003
AD70,24.757789950999996
AD71,464.43688889800023
AD72,682.5253717760002
AD73,336.39073276700015
AD74,215.99900736999996
AD75,783.4944155150001
AD76,1404.28756394
AD77,272.97643752700037
AD78,411.10203753099995
AD79,1501.68680539
AD80,756.5298162139999
AD81,1187.3714188499998
