Stock Index,Index,Industry,VWAP,General Index,NAV,P/E Ratio,Volumes Traded,Inventory Turnover,Covid Impact (Beta),Tracking Error,Dollar Exchange Rate,Put-Call Ratio,P/B Ratio,Stock Price
AA1,NYSE,Real Estate,700.29,12765.84,32.38,45.35,1208599,5.05,-0.43,0.052,1,0.61,9.2,156.9878515
AA2,NYSE,Information Tech,214.52,12765.84,33.25,170.56,13753356,3.1,0.23,0.0164,1,,6.91,560.8596216
AA3,NYSE,Information Tech,943.42,12765.84,88.27,143.58,6892003,7.7,0.23,0.0396,1,,6.09,1279.732874
AA4,BSE,Materials,828.13,38182.08,73.66,151.76,8316793,4.8,0.03,0.0431,74.9,1.11,5.6,1121.787632
AA5,S&P 500,Real Estate,,3351.28,23.79,,3943312,8.06,-0.43,0.0244,1,1.07,9.46,382.962534
AA6,BSE,Materials,259.61,38182.08,10.63,153.05,19263869,8.04,0.03,0.0344,74.9,1.15,5.51,158.6870162
AA7,NYSE,Healthcare,635.37,12765.84,67.21,29.63,7086103,5.87,0.78,0.0186,1,0.75,8.6,209.6458696
AA8,NSE,Real Estate,187.43,11270.15,,89.69,,,-0.43,0.037,74.9,0.78,6.73,861.481269
AA9,NSE,Materials,950.81,11270.15,31.5,159.58,1361019,2.72,0.03,0.0534,74.9,1.22,6.46,514.2408107
AA10,JSE,Healthcare,961.02,55722,72.16,29.61,14385395,7.87,0.78,0.0292,,1.21,4.42,239.0858043
AA11,JSE,Materials,,55722,60.53,88.2,14616628,3.57,0.03,0.0191,,0.91,3.01,535.6106724
AA12,S&P 500,Energy,,3351.28,88.09,55.56,7993015,,0.11,0.0544,,0.93,8.79,505.2990444
AA13,S&P 500,Information Tech,,3351.28,19.25,55.37,12877370,7.07,0.23,0.0521,,0.68,6.47,111.5524143
AA14,NSE,Information Tech,,11270.15,65.79,45.53,18655545,5.06,0.23,0.0608,,1.26,8.54,305.3926743
AA15,S&P 500,Information Tech,432.73,3351.28,87.42,112.46,1705228,3.63,0.23,0.037,,0.77,5.66,983.2207212
AA16,BSE,Information Tech,228.19,38182.08,99.86,185.68,9745556,4.49,0.23,0.0604,,1.09,2.9,1846.291871
AA17,JSE,Real Estate,276.4,55722,66.96,66.44,1243247,5.09,-0.43,0.0504,,1.2,2.55,448.8935523
AA18,JSE,Materials,440.23,55722,83.17,169.52,12683344,8.3,0.03,0.0249,,0.74,4.21,1404.342923
AA19,S&P 500,Information Tech,322.54,,,,,5.12,0.23,0.0171,,0.95,4.74,197.6924912
AA20,S&P 500,Healthcare,536.48,3351.28,39.33,190.39,13077121,6.66,0.78,0.0557,1,,7.11,742.1456867
AA21,S&P 500,Information Tech,918.37,3351.28,23.03,113.43,3094828,3.23,0.23,0.0445,1,1.14,5.56,274.6812487
AA22,BSE,Healthcare,312.35,38182.08,31.29,174.56,17083699,4.14,0.78,0.0226,74.9,0.82,7.52,539.8915073
AA23,JSE,Healthcare,401.15,55722,43.27,107.31,8905750,6.59,0.78,0.0297,17.7,0.83,4.05,464.9226486
AA24,S&P 500,Real Estate,419.41,3351.28,49.97,38.7,16212363,3.54,-0.43,0.046,1,0.7,3.2,200.6938148
AA25,NYSE,Real Estate,518.28,12765.84,68.2,175,2136670,3.92,-0.43,0.0588,1,1.04,8.21,1187.937392
AA26,JSE,Information Tech,60.82,55722,68.59,104.48,7713963,3.49,0.23,0.0452,17.7,0.77,9.07,716.6420148
AA27,BSE,Healthcare,962.74,38182.08,91.51,120.91,19690367,6.77,0.78,0.0426,74.9,1.21,8.88,1122.941849
AA28,NYSE,Information Tech,50.93,12765.84,42.36,16.54,13313558,5.27,0.23,0.0454,1,0.92,3.99,78.78965033
AA29,BSE,Energy,322.97,38182.08,49.75,112.59,2430637,5.88,0.11,0.0415,74.9,1.03,4.66,559.7721456
AA30,NYSE,Materials,173.4,12765.84,38.5,127.53,7593239,2.72,0.03,0.052,1,0.97,3.85,488.8612756
AA31,BSE,Information Tech,539.04,38182.08,71.88,57.49,14428998,8.13,0.23,0.0308,74.9,0.99,2.11,419.5986743
AA32,S&P 500,Real Estate,153.56,3351.28,57.33,51.41,4138324,3.52,-0.43,0.0323,1,0.72,5,300.0467198
AA33,JSE,Healthcare,416.74,55722,40.23,117.62,16480937,2.57,0.78,0.0514,17.7,1.09,0.76,472.8374756
AA34,JSE,Energy,352.25,55722,76.87,106.59,18630011,6.7,0.11,0.0264,17.7,0.78,0.89,819.652754
AA35,JSE,Energy,854.99,55722,11.35,103.18,18113372,3.01,0.11,0.0272,17.7,0.8,7.5,127.6350782
AA36,S&P 500,Healthcare,403.03,3351.28,72.01,67.57,8313056,7.19,0.78,0.0504,1,1.19,7.85,491.0485635
AA37,NSE,Real Estate,180.69,11270.15,58.41,60.44,4363335,8.07,-0.43,0.0474,74.9,0.93,8.31,357.4740193
AA38,NYSE,Materials,762.79,12765.84,63.99,143.34,19613952,4.42,0.03,0.0522,1,1.27,2.01,919.3891852
AA39,JSE,Materials,330.41,55722,75.84,141.62,6422657,5.13,0.03,0.0231,17.7,0.77,0.98,1070.779394
AA40,BSE,Real Estate,196.56,38182.08,89.53,30.9,16119428,5.61,-0.43,0.0204,74.9,0.96,3.46,284.0307694
AA41,NSE,Energy,150.38,11270.15,86.08,188.79,17369556,7.8,0.11,0.0549,74.9,0.83,6.13,1616.782461
AA42,JSE,Real Estate,896.92,55722,83.82,121.99,9474406,4.26,-0.43,0.0457,17.7,1.24,4.41,1033.31311
AA43,BSE,Information Tech,523.57,38182.08,83.67,48.73,8291526,6.55,0.23,0.0437,74.9,1.05,9.23,414.7969145
AA44,NSE,Energy,192.11,11270.15,77.08,172.45,6909396,3.36,0.11,0.0272,74.9,0.6,6.18,1322.632231
AA45,S&P 500,Real Estate,941.25,3351.28,87.02,126.39,16175140,4.93,-0.43,0.0355,1,1.13,7.64,1113.655766
AA46,NSE,Real Estate,640.82,11270.15,36.33,100.57,7937750,8.23,-0.43,0.0358,74.9,0.87,6.23,368.8207748
AA47,JSE,Healthcare,923.74,55722,80.43,199.16,5122283,6.2,0.78,0.0185,17.7,1.25,7.71,1607.106698
AA48,JSE,Real Estate,200.17,55722,13.81,32.79,11253460,5.14,-0.43,0.0238,17.7,1.1,1.52,52.57861237
AA49,S&P 500,Materials,828.72,3351.28,56.73,58.51,5597369,3.67,0.03,0.0493,1,1.23,1.35,345.1557462
AA50,S&P 500,Real Estate,184.16,3351.28,20.63,194.48,14516560,4.19,-0.43,0.0225,1,0.96,2.56,392.6648419
AA51,JSE,Real Estate,426.41,55722,45.23,177.44,9425355,5.24,-0.43,0.0396,17.7,0.9,5.56,796.1854029
AA52,NSE,Real Estate,338.66,11270.15,63.47,78.93,15271194,7.48,-0.43,0.0177,74.9,0.88,5.5,503.9334137
AA53,JSE,Information Tech,510.16,55722,41.51,147.67,12075889,6.65,0.23,0.0303,17.7,0.93,5.83,610.1947775
AA54,NSE,Real Estate,776.43,11270.15,34.12,25.95,13956016,3.07,-0.43,0.0502,74.9,0.7,4.52,102.8180264
AA55,BSE,Real Estate,721.25,38182.08,21.5,22.23,16582445,7.63,-0.43,0.0589,74.9,1.16,3.54,60.71970525
